yr,Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP_per_game,PTS_per_game,TRB_per_game,AST_per_game,WS,WS/48,BPM,VORP,espn_gr,cbs_gr,br_gr,yahoo_gr,ringer_gr,avg_grade
2021,3,3,CLE,Evan Mobley,USC,3,198,6578,3096,1749,558,0.544,0.265,0.681,33.2,15.6,8.8,2.8,19.3,0.141,1.6,5.9,NA,NA,4,4,NA,4
2021,4,4,TOR,Scottie Barnes,Florida State,3,211,7389,3504,1563,990,0.474,0.311,0.764,35,16.6,7.4,4.7,15.9,0.103,1.5,6.5,NA,3.7,2.7,1,3.3,2.675
2021,5,5,ORL,Jalen Suggs,Gonzaga,3,176,4578,2031,561,569,0.422,0.333,0.753,26,11.5,3.2,3.2,4.5,0.047,-1.4,0.7,NA,NA,4,NA,4,4
2021,6,6,OKC,Josh Giddey,NA,3,210,6078,2920,1534,1200,0.464,0.31,0.753,28.9,13.9,7.3,5.7,8.6,0.068,0.7,4.1,NA,3.3,1.7,3,2.7,2.675
2021,7,7,GSW,Jonathan Kuminga,NA,3,211,4528,2506,820,352,0.524,0.341,0.707,21.5,11.9,3.9,1.7,10.1,0.107,-1.1,1,NA,NA,2.7,2,2.3,2.3333333333333335
2021,8,8,ORL,Franz Wagner,Michigan,3,231,7375,4103,1066,783,0.479,0.332,0.85,31.9,17.8,4.6,3.4,15.7,0.103,0.1,3.9,NA,2.7,2.3,NA,3.7,2.9
2021,9,9,SAC,Davion Mitchell,Baylor,3,227,4624,1690,366,632,0.434,0.327,0.703,20.4,7.4,1.6,2.8,3,0.031,-3.4,-1.6,NA,NA,3,2.7,3,2.9
2021,10,10,NOP,Ziaire Williams,Stanford,3,150,2945,1131,388,175,0.426,0.301,0.803,19.6,7.5,2.6,1.2,2.6,0.042,-4,-1.5,NA,3.7,1.3,1.7,2,2.175
2021,11,11,CHO,James Bouknight,UConn,3,79,900,383,133,73,0.363,0.335,0.762,11.4,4.8,1.7,0.9,-0.3,-0.017,-5.9,-0.9,NA,NA,4,3.3,3.3,3.533333333333333
2021,12,12,SAS,Joshua Primo,Alabama,3,56,1068,318,127,99,0.371,0.3,0.75,19.1,5.7,2.3,1.8,-0.3,-0.011,-5.3,-0.9,NA,2.3,1,3,1.7,2
2021,13,13,IND,Chris Duarte,Oregon,3,160,3157,1312,447,222,0.405,0.347,0.816,19.7,8.2,2.8,1.4,1.6,0.024,-3.1,-0.9,NA,3.7,2.7,2.3,3,2.925
2021,14,14,GSW,Moses Moody,Arkansas,3,181,2580,1063,381,131,0.46,0.362,0.758,14.3,5.9,2.1,0.7,5,0.093,-1.5,0.4,NA,NA,3.7,2,2.7,2.8000000000000003
2022,1,1,ORL,Paolo Banchero,Duke,2,152,5229,3241,1051,700,0.442,0.321,0.731,34.4,21.3,6.9,4.6,7.6,0.07,0,2.7,NA,4,4,3.7,NA,3.9
2022,2,2,OKC,Chet Holmgren,Gonzaga,1,82,2413,1357,648,200,0.53,0.37,0.793,29.4,16.5,7.9,2.4,8.9,0.178,3.4,3.3,NA,NA,3.7,4,4,3.9
2022,3,3,HOU,Jabari Smith Jr.,Auburn,2,155,4875,2054,1185,222,0.43,0.335,0.798,31.5,13.3,7.6,1.4,7.5,0.074,-2,0,NA,NA,4,NA,3.7,3.85
2022,4,4,SAC,Keegan Murray,Iowa,2,157,4970,2148,791,227,0.454,0.384,0.805,31.7,13.7,5,1.4,9.5,0.092,-0.7,1.6,NA,3,3,4,2.7,3.175
2022,5,5,DET,Jaden Ivey,Purdue,2,151,4521,2389,552,683,0.422,0.339,0.748,29.9,15.8,3.7,4.5,0.4,0.004,-3.2,-1.4,NA,NA,4,NA,3.3,3.65
2022,6,6,IND,Bennedict Mathurin,Arizona,2,137,3760,2158,552,235,0.439,0.344,0.826,27.4,15.8,4,1.7,3.2,0.041,-3.6,-1.5,NA,4,2.7,2.7,4,3.35
2022,7,7,POR,Shaedon Sharpe,Kentucky,2,112,2838,1299,396,188,0.445,0.35,0.772,25.3,11.6,3.5,1.7,1.7,0.028,-3.1,-0.8,NA,3.3,3,3,NA,3.1
2022,8,8,NOP,Dyson Daniels,NA,2,120,2400,581,424,298,0.435,0.312,0.645,20,4.8,3.5,2.5,4.2,0.085,-0.5,0.9,NA,NA,3.7,3.3,4,3.6666666666666665
2022,9,9,SAS,Jeremy Sochan,Baylor,2,130,3651,1475,771,391,0.444,0.285,0.738,28.1,11.3,5.9,3,1.5,0.02,-3.6,-1.5,NA,3.7,2.3,3.7,3.7,3.3499999999999996
2022,10,10,WAS,Johnny Davis,Wisconsin,2,78,1036,315,137,60,0.394,0.282,0.549,13.3,4,1.8,0.8,-0.4,-0.019,-6.9,-1.3,NA,3.7,2.7,3.7,2.7,3.2
2022,11,11,NYK,Ousmane Dieng,NA,2,72,934,326,156,83,0.421,0.28,0.744,13,4.5,2.2,1.2,0.9,0.044,-3.4,-0.3,NA,3.7,3,2,NA,2.9
2022,12,12,OKC,Jalen Williams,Santa Clara,2,146,4499,2411,619,570,0.532,0.395,0.813,30.8,16.5,4.2,3.9,12.9,0.138,1.3,3.8,NA,3.3,2.7,4,3.7,3.425
2022,13,13,CHO,Jalen Duren,Memphis,2,128,3447,1453,1304,222,0.631,0,0.707,26.9,11.4,10.2,1.7,9.3,0.13,-0.4,1.3,NA,NA,3.3,NA,3.7,3.5
2022,14,14,CLE,Ochai Agbaji,Kansas,2,137,2850,922,337,150,0.419,0.326,0.744,20.8,6.7,2.5,1.1,1.4,0.024,-3.8,-1.3,NA,NA,1.7,4,2.3,2.6666666666666665
2023,1,1,SAS,Victor Wembanyama,NA,1,71,2106,1522,755,274,0.465,0.325,0.796,29.7,21.4,10.6,3.9,3.7,0.085,5.2,3.8,NA,NA,NA,NA,NA,NA
2023,2,2,CHO,Brandon Miller,Alabama,1,74,2383,1279,315,175,0.44,0.373,0.827,32.2,17.3,4.3,2.4,0.8,0.015,-2.6,-0.3,NA,3.7,3.3,2.3,3.3,3.1500000000000004
2023,3,3,POR,Scoot Henderson,NA,1,62,1765,868,194,336,0.385,0.325,0.819,28.5,14,3.1,5.4,-1.7,-0.045,-5.8,-1.7,NA,4,4,NA,4,4
2023,4,4,HOU,Amen Thompson,NA,1,62,1388,592,409,163,0.536,0.138,0.684,22.4,9.5,6.6,2.6,4.3,0.149,1.8,1.3,NA,4,3.7,4,4,3.925
2023,5,5,DET,Ausar Thompson,NA,1,63,1583,556,402,120,0.483,0.186,0.597,25.1,8.8,6.4,1.9,1.8,0.053,-2.2,-0.1,NA,3.3,3.3,3.3,3.7,3.3999999999999995
2023,6,6,ORL,Anthony Black,Arkansas,1,69,1164,316,139,91,0.466,0.394,0.613,16.9,4.6,2,1.3,1.6,0.067,-3,-0.3,NA,4,3.3,1.3,3,2.9
2023,7,7,IND,Bilal Coulibaly,NA,1,63,1715,532,256,110,0.435,0.346,0.702,27.2,8.4,4.1,1.7,0.4,0.013,-4.2,-0.9,NA,3,2.3,2.7,2.7,2.675
2023,8,8,WAS,Jarace Walker,Houston,1,33,340,120,63,40,0.409,0.4,0.889,10.3,3.6,1.9,1.2,0.4,0.058,0.2,0.2,NA,3.7,3,2.3,4,3.25
2023,9,9,UTA,Taylor Hendricks,Central Florida,1,40,856,292,185,32,0.45,0.379,0.793,21.4,7.3,4.6,0.8,1.2,0.07,-1.6,0.1,NA,3.7,2.7,4,3.3,3.425
2023,10,10,DAL,Cason Wallace,Kentucky,1,82,1692,561,187,120,0.491,0.419,0.784,20.6,6.8,2.3,1.5,4,0.115,0.1,0.9,NA,3,2.3,2,3,2.575
2023,11,11,ORL,Jett Howard,Michigan,1,18,67,29,7,6,0.333,0.28,0.5,3.7,1.6,0.4,0.3,0,0.005,-1.8,0,NA,2.3,1,1.3,3,1.9
2023,12,12,OKC,Dereck Lively II,Duke,1,55,1294,483,378,60,0.747,0,0.506,23.5,8.8,6.9,1.1,4.9,0.183,0.5,0.8,NA,4,4,3.7,3,3.675
2023,13,13,TOR,Gradey Dick,Kansas,1,60,1268,510,132,68,0.425,0.365,0.863,21.1,8.5,2.2,1.1,0.3,0.01,-5.4,-1.1,NA,3.7,3,4,3,3.425
2023,14,14,NOP,Jordan Hawkins,UConn,1,67,1160,524,148,70,0.382,0.366,0.838,17.3,7.8,2.2,1,1.3,0.053,-3.1,-0.3,NA,3.3,3.7,3,3,3.25
